状态栈		符号栈		输入		动作
0,		$,		{	移入到1
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,		basic	移入到5
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,5,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,basic,		id	 归约8
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,8,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,type,		id	移入到20
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,8,20,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,type,id,		;	移入到36
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,8,20,36,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,type,id,;,		basic	 归约6
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,6,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,decl,		basic	 归约41
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,		basic	移入到5
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,5,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,basic,		id	 归约8
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,8,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,type,		id	移入到20
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,41,8,20,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,decls,type,id,		;	移入到36
